id,name,addr,lat,lng,dong,detailtype,detailtype_str,detailtype2_str
0,날외15,제주특별자치도 서귀포시 대정읍 일과대수로 15,33.2397156098004,126.231972507922,대정읍,6,한식,단품요리 전문
1,열정국밥시청점,제주특별자치도 제주시 동고산로 14-1,33.4982812932914,126.5326256661,이도2동,6,한식,국밥
2,킹마트분식,제주특별자치도 서귀포시 천제연로 154-1 1층,33.2523903057015,126.421193872043,중문동,6,분식,분식
3,아임누,제주특별자치도 제주시 선덕로8길 12 1층 로비,33.4843969559424,126.500371293881,연동,6,한식,단품요리 전문
4,카페신산,제주특별자치도 제주시 동광로9길 19,33.5039627066058,126.532322637565,이도1동,4,음료,커피
5,오늘은막창먹자,제주특별자치도 제주시 동고산로 11,33.4984446928982,126.532275475664,이도2동,6,한식,막창
6,제주한우앤돈본점,제주특별자치도 제주시 오라로 50 1층,33.4961727744556,126.508562852177,오라동,6,한식,소고기
7,장모술상,제주특별자치도 제주시 우정로11길 14,33.4876697402887,126.432385608836,외도동,6,한식,가정식
8,30년할매닭발모슬포점,제주특별자치도 서귀포시 대정읍 하모중앙로68번길 2-1,33.222539969498,126.251942376294,대정읍,6,한식,단품요리 전문
9,라멘맛심,제주특별자치도 제주시 신대로9길 7 1층,33.4908651776002,126.4976988307,연동,1,아시아음식,일식
10,올레차이나타운,제주특별자치도 서귀포시 법환로 2,33.2363251022304,126.51498226922,대륜동,1,아시아음식,중식
11,왕일이네식당,제주특별자치도 서귀포시 표선면 중산간동로 4592,33.3891147400676,126.804961505907,이도2동,6,한식,가정식
12,용의성,제주특별자치도 제주시 서사로 144 1층,33.4994115988413,126.519630649567,삼도1동,1,아시아음식,중식
13,서유기마라탕앤딤섬연동점,제주특별자치도 제주시 과원로 128,33.4806950788032,126.494650091938,연동,3,주점및주류판매,중식
14,소문난 두루치기,제주특별자치도 제주시 우정로 17,33.4912125255095,126.4311650824,외도동,6,한식,가정식
15,타이거타코,제주특별자치도 제주시 구남동4길 40 1층,33.4874127693613,126.536106903872,이도2동,6,한식,커피
16,쌈짓골,제주특별자치도 제주시 조천읍 함대로 303,33.517890915667,126.659803851616,조천읍,6,한식,가정식
17,부두회수산,제주특별자치도 서귀포시 칠십리로 94 1층,33.2406163010164,126.565701743287,송산동,1,아시아음식,회
18,파라디스코,제주특별자치도 제주시 광양8길 17 1층,33.4996867358406,126.527596058254,이도2동,6,한식,단품요리 전문
19,코지오베르쥬,제주특별자치도 제주시 연화로2길 17-5 1층,33.4779943343788,126.488993645506,연동,6,한식,단품요리 전문
20,싱겟물바당,제주특별자치도 제주시 천수로6길 5,33.5029143341732,126.541927329001,이도2동,6,한식,단품요리 전문
21,마피아떡볶이제주노형점,제주특별자치도 제주시 정원로 53-1 1층,33.4771339388759,126.47755224554,노형동,4,간식,분식
22,숯며들닭,제주특별자치도 제주시 우도면 우도해안길 768 1층,33.517162938262,126.958382938712,우도면,6,한식,치킨
23,개가게를판다,제주특별자치도 제주시 서해안로 494,33.5193473448327,126.491938017402,용담2동,6,한식,단품요리 전문
