id,name,addr,lat,lng,dong
0,이마트 서귀포점, 제주특별자치도 서귀포시 일주동로 9209 ,33.2483380261564,126.509117350341,법환동
1,이마트 신제주점, 제주특별자치도 제주시 1100로 3348 ,33.4849650136857,126.480431633456,노형동
2,롯데마트 제주점, 제주특별자치도 제주시 연북로 1 ,33.4824421892687,126.481834000763,노형동
3,이마트 제주점, 제주특별자치도 제주시 탑동로 38 ,33.5179748474968,126.521177288784,삼도이동
4,홈플러스 서귀포점, 제주특별자치도 서귀포시 중앙로 180 ,33.2604859888121,126.559934556059,동홍동
5,제스코마트 본점, 제주특별자치도 제주시 연북로 444 ,33.4802172374332,126.529080428764,도남동
6,제스코마트 서귀포지점, 제주특별자치도 서귀포시 상효로 39 ,33.262919435514,126.59577276063,상효동
7,월마켓, 제주특별자치도 제주시 일주동로 233 ,33.5197112375369,126.570276881705,화북일동
8,제스코관광마트 동쪽송당동화마을점, 제주특별자치도 제주시 구좌읍 비자림로 1191 1층 ,33.4354329886865,126.732037746765,구좌읍 송당리
9,오케이마트24, 제주특별자치도 제주시 동고산로 18-1 ,33.4984647474967,126.532979050537,이도이동
10,하귀농협하나로마트, 제주특별자치도 제주시 애월읍 일주서로 7136 ,33.4850611892862,126.412159214346,애월읍 하귀1리
11,애월농협하나로마트, 제주특별자치도 제주시 애월읍 애원로 41 ,33.4604320146266,126.321905818586,애월읍 애월리
12,하나로마트 제주점, 제주특별자치도 제주시 남광로 206 C동 ,33.5037835445866,126.553106499621,일도이동
13,중문농협하나로마트 본점, 제주특별자치도 서귀포시 천제연로 242 ,33.2508369425596,126.43059731236,중문동
14,대정농협 하나로마트, 제주특별자치도 서귀포시 대정읍 일주서로 2460 지하1층 ,33.2340424591668,126.264198746261,대정읍 상모리
15,제주한림농협하나로마트, 제주특별자치도 제주시 한림읍 한림상로 101 ,33.4099885491929,126.26387871071,한림읍 한림리
16,성산일출봉농협하나로마트, 제주특별자치도 서귀포시 성산읍 일주동로 4282 ,33.4462541339754,126.911560925407,성산읍 고성리
17,함덕농협 하나로마트, 제주특별자치도 제주시 조천읍 함와로 40 ,33.5365660075389,126.674912222026,조천읍 함덕리
18,구좌농협하나로마트 중부점, 제주특별자치도 제주시 구좌읍 세평항로 13 ,33.5245913061334,126.85290792132,구좌읍 평대리
19,표선농협하나로마트, 제주특별자치도 서귀포시 표선면 가시로 16 ,33.3304769699363,126.82144063527,표선면 표선리
20,한경농협하나로마트, 제주특별자치도 제주시 한경면 신한로 76 ,33.3465593104867,126.190617631814,한경면 신창리
21,제주남원농협하나로마트, 제주특별자치도 서귀포시 남원읍 남조로 52 ,33.2843923040775,126.721704955856,남원읍 남원리
22,서귀포농협하나로마트, 제주특별자치도 서귀포시 516로 40-1 ,33.257432513411,126.580084991791,토평동
23,제주시농협 하나로마트 노형점, 제주특별자치도 제주시 월광로 77 ,33.4876047228034,126.46735621044,노형동
24,조천농협하나로마트, 제주특별자치도 제주시 조천읍 신북로 240 ,33.5362956682311,126.638255733282,조천읍 조천리
25,김녕농협하나로마트, 제주특별자치도 제주시 구좌읍 김녕로 107 ,33.5546049039056,126.749329870141,구좌읍 김녕리
26,함덕농협하나로마트 중앙점, 제주특별자치도 제주시 조천읍 신북로 514 ,33.5419251140089,126.664615165791,조천읍 함덕리
27,효돈농협하나로마트, 제주특별자치도 서귀포시 하신상로 1 ,33.2609655287504,126.617173502625,하효동
28,애월농협 하나로마트 봉성점, 제주특별자치도 제주시 애월읍 봉성로 71 ,33.4190804168002,126.312246196078,애월읍 봉성리
29,위미농협 하나로마트, 제주특별자치도 서귀포시 남원읍 태위로 133 ,33.2752356984287,126.661617021485,남원읍 위미리
30,제주고산농협 하나로마트, 제주특별자치도 제주시 한경면 용고로 81 ,33.3006746980032,126.179282801015,한경면 고산리
31,제주축산농협 하나로마트 아라점, 제주특별자치도 제주시 중앙로 415 ,33.4860241974082,126.542967106473,아라이동
32,제주감귤농협 하나로마트, 제주특별자치도 서귀포시 태평로 554 ,33.2529504688607,126.576060250864,동홍동
