id,name,addr,lat,lng,course_name,distance,duration,start_point,end_point
0,1코스,제주특별자치도 서귀포시 성산읍 시흥상동로 97-13,33.47682352,126.8955178,시흥 - 광치기,15.1,4.5시간,시흥리정류장,광치기 해변
1,2코스,제주 서귀포시 성산읍 고성리 224-33,33.45231637,126.9238948,광치기 - 온평,15.6,4.5시간,광치기해변,온평포구
2,3코스,제주 서귀포시 성산읍 온평애향로 69-5,33.40563366,126.9044692,온평 - 표선(A),20.9,6.5시간,온평포구,표선해수욕장
3,3코스,제주 서귀포시 성산읍 온평애향로 69-5,33.40563366,126.9044692,온평 - 표선(B),14.6,4.5시간,온평포구,표선해수욕장
4,4코스,제주 서귀포시 표선면 민속해안로 620,33.32561228,126.8393717,표선 - 남원,19.0,6.5시간,표선해수욕장,남원포구
5,5코스,제주 서귀포시 남원읍 남태해안로 140,33.2778173,126.7196046,남원 - 쇠소깍,13.4,4.5시간,남원포구,쇠소깍다리
6,6코스,제주특별자치도 서귀포시 하효동 1459,33.2594507,126.6238825,쇠소깍 - 제주올레여행자센터,11.0,3.5시간,쇠소깍다리,제주올레여행자센터
7,7코스,제주특별자치도 서귀포시 중정로 22,33.24740549,126.5586574,제주올레여행자센터 - 월평,17.6,5.5시간,제주올레여행자센터,월평 아왜낭목쉼터
8,8코스,제주특별자치도 서귀포시 월평동 738,33.24350548,126.4585191,월평 - 대평,19.6,5.5시간,월평,대평포구
9,9코스,제주특별자치도 서귀포시 안덕면 감산리 982-5,33.2369813,126.3607205,대평 - 화순,11.8,3.5시간,대평포구,화순 금모래해수욕장
10,10코스,제주특별자치도 서귀포시 안덕면 화순해안로 87,33.24018644,126.3354464,화순 - 모슬포,15.6,5.5시간,제주올레공식안내소,하모체육공원
11,11코스,제주특별자치도 서귀포시 대정읍 하모리 2139-3,33.21865705,126.2524175,모슬포 - 무릉,17.3,5.5시간,하모체육공원,무릉외갓집
12,12코스,제주특별자치도 서귀포시 대정읍 중산간서로2881번길,33.27093722,126.2387494,무릉 - 용수,17.5,5.5시간,무릉외갓집,용수포구
13,13코스,제주특별자치도 제주시 한경면 용수3길 21-1,33.32373275,126.1672592,용수 - 저지,15.9,4.5시간,용수포구,저지예술정보화마을
14,14코스,제주특별자치도 제주시 한경면 중산간서로 3687,33.33369122,126.2559674,저지 - 한림,19.1,6.5시간,저지예술정보화마을,한림항
15,15코스,제주특별자치도 제주시 한림읍 한림해안로 143,33.41573068,126.2615889,한림 - 고내(A),16.5,5.5시간,한림항,고내포구
16,15코스,제주특별자치도 제주시 한림읍 한림해안로 143,33.41573068,126.2615889,한림 - 고내(B),13.0,4.5시간,한림항,고내포구
17,16코스,제주특별자치도 제주시 애월읍 고내리 1111-2,33.46690827,126.3378478,고내 - 광령,15.8,5.5시간,고내포구,광령1리사무소
18,17코스,제주특별자치도 제주시 애월읍 광성로 298-1,33.46050264,126.4392585,광령 - 제주원도심,18.1,6.5시간,광령1리사무소,간세라운지X관덕정분식
19,18코스,제주특별자치도 제주시 관덕로8길 7-9 ,33.51257074,126.5243196,제주원도심 - 조천,19.7,6.5시간,간세라운지X관덕정분식,조천만세동산
20,19코스,제주특별자치도 제주시 조천읍 신북로 303,33.54102729,126.6407255,조천 - 김녕,19.4,6.5시간,조천만세동산,김녕 서포구
21,20코스,제주특별자치도 제주시 구좌읍 김녕리 4070,33.55766373,126.744866,김녕 - 하도,17.6,5.5시간,김녕,제주해녀박물관
22,21코스,제주특별자치도 제주시 구좌읍 해녀박물관길 26,33.52360988,126.8634256,하도 - 종달,11.3,3.5시간,제주,종달바당
23,1-1코스,제주특별자치도 제주시 우도면 우도해안길 352,33.50956754,126.9435146,우도,11.3,4.5시간,천진항.하우목동항,천진항.하우목동항
24,7-1코스,제주특별자치도 서귀포시 일주동로 9217,33.24899257,126.5082188,서귀포버스터미널 - 제주올레여행자센터,15.7,4.5시간,서귀포버스터미널앞,제주올레여행자센터
25,10-1코스,제주특별자치도 서귀포시 대정읍 가파리 373-2,33.17351325,126.2686794,가파도,4.2,1.5시간,상동포구,가파 치안센터
26,14-1코스,제주특별자치도 제주시 한경면 중산간서로 3687,33.33369122,126.2559674,저지 - 서광,9.3,3.5시간,저지예술정보화마을,오설록녹차밭
27,18-1코스,제주특별자치도 제주시 추자면 대서리 4-41,33.96229576,126.2973067,추자도,18.2,7시간,상추자항,상추자항
