id,date,강정동,남원읍,대정읍,동홍동,성산읍,애월읍,연동,이도동,조천읍,한림읍,화북동,year,month,day
0,2022-11-01,11,14,20,8,19,12,25,24,27,26,24,2022,11,1
1,2022-11-02,21,23,38,21,46,12,47,43,52,48,50,2022,11,2
2,2022-11-03,11,15,21,11,25,12,22,20,31,25,21,2022,11,3
3,2022-11-04,15,7,11,12,12,12,12,10,16,13,11,2022,11,4
4,2022-11-05,7,4,9,5,9,12,10,9,13,12,7,2022,11,5
5,2022-11-06,9,7,13,7,14,12,14,13,19,19,13,2022,11,6
6,2022-11-07,12,12,18,11,20,12,22,21,26,26,20,2022,11,7
7,2022-11-08,14,12,17,12,17,12,19,18,23,22,16,2022,11,8
8,2022-11-09,14,14,16,14,20,12,21,21,29,24,23,2022,11,9
9,2022-11-10,16,13,16,14,15,12,23,22,25,25,18,2022,11,10
10,2022-11-11,21,17,20,18,18,12,23,20,25,22,20,2022,11,11
11,2022-11-12,17,13,15,14,10,12,17,16,20,16,18,2022,11,12
12,2022-11-13,12,9,14,9,16,12,15,13,19,17,16,2022,11,13
13,2022-11-14,14,9,14,13,16,12,16,13,20,17,15,2022,11,14
14,2022-11-15,10,5,12,7,13,12,14,11,16,15,10,2022,11,15
15,2022-11-16,21,18,28,19,29,12,30,23,35,34,28,2022,11,16
16,2022-11-17,17,18,20,17,18,12,20,17,29,23,23,2022,11,17
17,2022-11-18,15,13,14,13,17,12,23,18,25,22,22,2022,11,18
18,2022-11-19,16,11,15,10,13,12,17,14,20,17,17,2022,11,19
19,2022-11-20,12,9,13,8,12,12,16,11,17,15,15,2022,11,20
20,2022-11-21,11,11,12,8,13,12,16,13,21,17,16,2022,11,21
21,2022-11-22,12,11,13,9,16,12,20,15,25,18,15,2022,11,22
22,2022-11-23,10,10,17,7,20,12,21,17,23,20,15,2022,11,23
23,2022-11-24,11,14,20,12,23,12,23,18,27,25,18,2022,11,24
24,2022-11-25,11,10,14,11,19,12,19,16,28,18,17,2022,11,25
25,2022-11-26,14,14,21,11,22,12,21,18,25,22,18,2022,11,26
26,2022-11-27,19,17,23,17,14,12,20,18,26,23,16,2022,11,27
27,2022-11-28,14,7,13,10,11,12,12,10,14,10,11,2022,11,28
28,2022-11-29,9,7,12,6,13,12,14,11,16,13,11,2022,11,29
29,2022-11-30,9,6,13,7,10,12,13,9,16,14,9,2022,11,30
30,2022-12-01,5,3,8,4,5,12,8,6,12,11,4,2022,12,1
31,2022-12-02,6,3,8,4,6,12,10,8,13,12,6,2022,12,2
32,2022-12-03,9,5,11,6,7,12,12,9,18,14,12,2022,12,3
33,2022-12-04,10,10,18,6,17,12,16,13,21,18,13,2022,12,4
34,2022-12-05,7,3,8,4,8,12,11,7,14,11,7,2022,12,5
35,2022-12-06,15,13,17,12,19,12,19,16,24,21,13,2022,12,6
36,2022-12-07,25,18,34,24,24,12,27,24,33,30,21,2022,12,7
37,2022-12-08,9,8,17,10,16,12,18,16,27,22,14,2022,12,8
38,2022-12-09,8,10,15,9,17,12,16,16,23,19,11,2022,12,9
39,2022-12-10,9,20,24,8,27,12,25,24,25,30,21,2022,12,10
40,2022-12-11,14,14,19,11,20,12,19,17,16,21,12,2022,12,11
41,2022-12-12,11,11,15,10,17,12,15,14,14,18,12,2022,12,12
42,2022-12-13,30,26,31,29,34,12,31,31,35,36,27,2022,12,13
43,2022-12-14,6,4,9,6,9,12,10,8,8,13,4,2022,12,14
44,2022-12-15,7,6,9,8,10,12,10,9,9,12,5,2022,12,15
45,2022-12-16,14,14,17,12,18,12,18,16,15,20,12,2022,12,16
46,2022-12-17,9,5,11,13,8,12,10,8,9,13,3,2022,12,17
47,2022-12-18,5,3,8,13,6,12,10,6,9,13,3,2022,12,18
48,2022-12-19,11,7,14,14,12,12,14,14,12,17,6,2022,12,19
49,2022-12-20,14,13,17,13,17,12,18,17,23,23,12,2022,12,20
50,2022-12-21,14,11,20,13,15,12,19,16,16,20,14,2022,12,21
51,2022-12-22,5,5,11,8,8,12,11,9,11,15,5,2022,12,22
52,2022-12-23,3,4,9,7,6,12,11,7,9,14,3,2022,12,23
53,2022-12-24,3,4,10,6,8,12,11,9,10,13,4,2022,12,24
54,2022-12-25,4,5,12,9,10,12,12,10,11,15,5,2022,12,25
55,2022-12-26,5,10,13,9,12,12,14,11,12,16,5,2022,12,26
56,2022-12-27,7,10,17,12,13,12,15,14,13,19,6,2022,12,27
57,2022-12-28,17,19,27,22,21,12,23,22,20,29,18,2022,12,28
58,2022-12-29,8,11,17,13,15,12,17,16,16,20,10,2022,12,29
59,2022-12-30,23,24,29,23,27,12,26,26,25,33,20,2022,12,30
60,2023-01-01,38,40,54,37,49,12,49,48,45,60,47,2023,1,1
61,2023-01-02,14,4,10,20,8,7,10,8,9,11,3,2023,1,2
62,2023-01-03,8,8,18,12,12,11,15,13,12,16,7,2023,1,3
63,2023-01-04,7,14,15,11,13,10,16,15,14,14,7,2023,1,4
64,2023-01-05,31,43,49,34,44,40,45,47,44,49,46,2023,1,5
65,2023-01-06,26,34,45,31,49,38,42,41,44,45,41,2023,1,6
66,2023-01-07,34,30,35,33,43,34,39,39,37,36,35,2023,1,7
67,2023-01-08,20,23,28,24,31,24,30,28,28,27,26,2023,1,8
68,2023-01-09,28,24,28,30,27,20,31,28,27,27,25,2023,1,9
69,2023-01-10,13,12,14,17,16,13,18,15,18,17,12,2023,1,10
70,2023-01-11,4,7,10,8,9,6,12,9,12,10,9,2023,1,11
71,2023-01-12,7,6,11,8,8,6,14,12,9,8,11,2023,1,12
72,2023-01-13,10,7,19,10,11,9,19,12,8,13,9,2023,1,13
73,2023-01-14,9,9,16,10,10,7,14,10,10,10,7,2023,1,14
74,2023-01-15,6,7,15,9,13,9,15,13,13,14,6,2023,1,15
75,2023-01-16,4,5,11,9,9,5,12,9,11,11,4,2023,1,16
76,2023-01-17,4,7,11,9,9,5,12,10,10,9,5,2023,1,17
77,2023-01-18,18,23,25,20,23,19,26,24,22,23,19,2023,1,18
78,2023-01-19,13,17,23,17,17,14,21,18,17,19,10,2023,1,19
79,2023-01-20,25,25,33,30,26,23,28,27,26,26,22,2023,1,20
80,2023-01-21,4,6,10,10,6,4,11,8,8,9,3,2023,1,21
81,2023-01-22,2,4,8,6,8,4,11,7,9,9,2,2023,1,22
82,2023-01-23,10,15,20,13,19,15,21,18,19,19,14,2023,1,23
83,2023-01-24,7,8,14,11,12,8,14,11,12,12,7,2023,1,24
84,2023-01-25,2,3,7,6,5,2,9,7,9,8,2,2023,1,25
85,2023-01-26,2,4,8,6,6,3,10,7,9,8,3,2023,1,26
86,2023-01-27,8,10,15,11,15,10,17,15,16,16,10,2023,1,27
87,2023-01-28,4,5,11,8,10,6,13,10,11,11,5,2023,1,28
88,2023-01-29,17,18,22,22,21,17,24,14,19,22,15,2023,1,29
89,2023-01-30,8,7,15,13,12,8,15,7,14,13,7,2023,1,30
90,2023-02-01,14,13,27,18,22,20,26,22,23,28,20,2023,2,1
