id,name,addr,lat,lng,dong,type,homepage
0,제주특별자치도경찰청,제주시 수목원 서길 37,33.4685007421504,126.481678808853,노형동,경찰서,https://www.jjpolice.go.kr
1,서귀포경찰서,서귀포시 신중로 27,33.2561527307649,126.50923956244,법환동,경찰서,https://www.jjpolice.go.kr/seogwipo
2,제주동부경찰서,제주시 동광로 66,33.5035351846963,126.535826444474,이도이동,경찰서,https://www.jjpolice.go.kr/dongbu
3,제주서부경찰서,제주시 애월읍 애조로 215,33.4734977061282,126.405378344484,애월읍 상귀리,경찰서,https://www.jjpolice.go.kr/seobu
4,삼양지구대,제주특별자치도 제주시 일주동로 397,33.5217197184816,126.587435243913,삼양이동,지구대,
5,연동지구대 ,제주특별자치도 제주시 신대로 97,33.488531927378,126.496849451464,연동,지구대,https://www.jjpolice.go.kr/seobu/
6,노형지구대,제주특별자치도 제주시 광평동로 4,33.4812275355137,126.472021892334,노형동,지구대,https://www.jjpolice.go.kr/seobu/info/police/police2
7,중앙지구대,제주특별자치도 제주시 북성로 3,33.5154655442698,126.523961293944,삼도이동,지구대,
8,제주해양경찰서,제주특별자치도 제주시 임항로 154,33.5199812587853,126.540242702465,건입동,경찰서,https://www.kcg.go.kr/rcgh/jeJuCgs
9,한림파출소,제주특별자치도 제주시 한림읍 한림로 651,33.4143828761695,126.262525748972,한림읍 한림리,파출소,
10,표선파출소,제주특별자치도 서귀포시 표선면 표선동서로 217,33.3235351485753,126.831305099256,표선면 표선리,파출소,https://www.jjpolice.go.kr/seogwipo
11,구좌파출소,제주특별자치도 제주시 구좌읍 구좌로 45,33.5235123543673,126.856358709189,구좌읍 세화리,파출소,
12,중동지구대,제주특별자치도 서귀포시 태평로 552,33.252702084237,126.575826546099,동홍동,지구대,
13,성산파출소,제주특별자치도 서귀포시 성산읍 성산중앙로 53,33.4643912812834,126.934316889758,성산읍 성산리,파출소,
14,함덕파출소,제주특별자치도 제주시 조천읍 신북로 515,33.5421739418991,126.664977261275,조천읍 함덕리,파출소,https://www.jjpolice.go.kr/dongbu/info/police/police6.htm
15,오라지구대,제주특별자치도 제주시 서광로 182,33.4996957767302,126.515784654782,삼도일동,지구대,https://www.jjpolice.go.kr/dongbu/info/police/police3.htm
16,효돈파출소,제주특별자치도 서귀포시 효돈로 171-1,33.2638507273297,126.61713762702,하효동,파출소,https://www.jjpolice.go.kr/seogwipo/info/police/police9.htm
17,남문지구대,제주특별자치도 제주시 연신로 6,33.5000360993351,126.543762800839,이도이동,지구대,
18,애월파출소,제주특별자치도 제주시 애월읍 애월로 116-1,33.4642142582189,126.31940593304,애월읍 애월리,파출소,
19,중문파출소,제주특별자치도 서귀포시 천제연로 165,33.2523875274983,126.422593961226,중문동,파출소,
20,아라파출소,제주특별자치도 제주시 중앙로 609,33.4697607209478,126.54713474805,아라일동,파출소,
21,대정파출소,제주특별자치도 서귀포시 대정읍 상모로 310,33.2230746763465,126.256040570023,대정읍 상모리,파출소,
22,하귀파출소,제주특별자치도 제주시 애월읍 하귀로 47,33.4805015073232,126.402265040117,애월읍 하귀2리,파출소,
23,남원파출소,제주특별자치도 서귀포시 남원읍 태위로 702,33.279545685218,126.721509510955,남원읍 남원리,파출소,
24,조천파출소,제주특별자치도 제주시 조천읍 신북로 265,33.5386476403318,126.639984594787,조천읍 조천리,파출소,
25,대신파출소,제주특별자치도 서귀포시 신서귀로51번길 18,33.2544182801794,126.509607469448,법환동,파출소,https://www.jjpolice.go.kr/seogwipo/info/police/police8.htm
26,한경파출소,제주특별자치도 제주시 한경면 두신로 133,33.3545347315841,126.185481585508,한경면 두모리,파출소,
