ANALS_YM,CMPNM_NM,SIGNGU_NM,ADSTRD_NM,AREA_NM,MLSFC_NM,SCLAS_NM,JJINHBT_SALES_PRICE_RATE,JJINHBT_SALES_CO_RATE,OTSD_SALES_PRICE_RATE,OTSD_SALES_CO_RATE,ALL_SALES_PRICE_RATE,ALL_SALES_CO_RATE,VARTION_RT,RANK_CO,GID_ID
202102,한국맥도날드(유)제주노형점,제주시,노형동,제주시 동지역,패스트푸드,햄버거,21.36,101.96,0.69,19.92,3.23,75.39,,,다나05a99b
202102,버거킹제주이마트점,제주시,노형동,제주시 동지역,패스트푸드,햄버거,6.55,28.89,0.24,6.61,1.02,22.19,,,다나05a99b
202102,에이바우트커피아이파크점,제주시,노형동,제주시 동지역,음료,커피,1.32,11.63,0.04,1.49,0.19,7.93,,,다나05a99b
202102,투썸플레이스 제주노형오거리점,제주시,노형동,제주시 동지역,음료,커피,2.38,10.95,0.12,2.76,0.4,8.64,,,다나05a99b
202102,(유)아웃백스테이크하우스코리아제주점,제주시,노형동,제주시 동지역,양식,패밀리 레스토랑,17.5,10.23,0.59,1.92,2.66,7.5,,,다나05a99b
202102,던킨도너츠신제주점,제주시,노형동,제주시 동지역,간식,도너츠,1.95,8.69,0.03,0.84,0.26,5.69,,,다나05a99b
202102,더치앤빈 노형점,제주시,노형동,제주시 동지역,음료,커피,1.01,8.63,0.02,0.82,0.14,5.63,,,다나05a99b
202102,뚜레쥬르 노형오거리점,제주시,노형동,제주시 동지역,간식,베이커리,2.36,8.63,0.04,0.78,0.32,5.59,,,다나05a99b
202102,주식회사 파스쿠찌제주노형로터리점,제주시,노형동,제주시 동지역,음료,커피,1.65,8.37,0.03,0.86,0.23,5.52,,,다나05a99b
202102,파리바게뜨노형오거리점,제주시,노형동,제주시 동지역,간식,베이커리,1.54,6.54,0.06,1.38,0.24,4.92,,,다나05a99b
202102,타이거커피 제주점,제주시,노형동,제주시 동지역,한식,단품요리 전문,0.65,6.54,0.01,0.65,0.09,4.29,,,다나05a99b
202102,루스트플레이스아이파크점,제주시,노형동,제주시 동지역,양식,양식,4.22,5.92,0.08,0.76,0.58,4.03,,,다나05a99b
202102,제주포레스트주식회사 포메인제주노형점,제주시,노형동,제주시 동지역,아시아음식,동남아/인도음식,2.79,4.05,0.14,1.04,0.47,3.21,,,다나05a99b
202102,메종드쁘띠푸르3호점,제주시,노형동,제주시 동지역,간식,베이커리,1.36,3.89,0.04,0.6,0.21,2.74,,,다나05a99b
202102,더벤티제주노형점,제주시,노형동,제주시 동지역,음료,커피,0.38,3.76,0.02,0.56,0.06,2.63,,,다나05a99b
202102,서가앤쿡 노형점,제주시,노형동,제주시 동지역,양식,패밀리 레스토랑,3.31,3.69,0.04,0.3,0.43,2.37,,,다나05a99b
202102,수영,제주시,노형동,제주시 동지역,한식,가정식,1.19,3.56,0.05,0.89,0.19,2.8,,,다나05a99b
202102,삼성웰스토리(주)제주드림타워,제주시,노형동,제주시 동지역,한식,단품요리 전문,0.47,3.2,0.01,0.35,0.06,2.13,,,다나05a99b
202102,딤섬9898,제주시,노형동,제주시 동지역,아시아음식,중식,2.2,3.14,0.12,0.93,0.38,2.59,,,다나05a99b
202102,이졸라베르데,제주시,노형동,제주시 동지역,한식,단품요리 전문,2.93,2.94,0.05,0.32,0.4,1.96,,,다나05a99b
202102,푸동,제주시,노형동,제주시 동지역,아시아음식,중식,0.87,2.81,0.04,0.69,0.14,2.2,,,다나05a99b
202102,땅스부대찌개노형점,제주시,노형동,제주시 동지역,한식,단품요리 전문,0.78,2.71,0,0.09,0.1,1.62,,,다나05a99b
202102,쑝쑝돈까스 제주노형점,제주시,노형동,제주시 동지역,한식,단품요리 전문,0.8,2.22,0.02,0.32,0.11,1.55,,,다나05a99b
202102,족발야시장 노형점,제주시,노형동,제주시 동지역,한식,단품요리 전문,2.34,2.19,0.04,0.22,0.32,1.44,,,다나05a99b
202102,조박사버섯칼국수,제주시,노형동,제주시 동지역,한식,단품요리 전문,2.13,2.06,0.04,0.24,0.29,1.38,,,다나05a99b
202102,스무디킹 이마트신제주점,제주시,노형동,제주시 동지역,음료,주스,0.28,1.9,0.02,0.58,0.05,1.58,,,다나05a99b
202102,다미야,제주시,노형동,제주시 동지역,주점 및 주류판매,맥주/요리주점,1.87,1.83,0.1,0.41,0.32,1.4,,,다나05a99b
202102,스시권,제주시,노형동,제주시 동지역,아시아음식,일식,1.89,1.77,0.25,0.97,0.47,1.85,,,다나05a99b
202102,섬타르,제주시,노형동,제주시 동지역,한식,단품요리 전문,0.57,1.73,0.13,1.6,0.19,2.37,,,다나05a99b
202102,지코바치킨신제주점,제주시,노형동,제주시 동지역,패스트푸드,치킨,0.93,1.7,0.03,0.3,0.14,1.23,,,다나05a99b
202102,미스터킴팝,제주시,노형동,제주시 동지역,한식,가정식,0.37,1.63,0.01,0.26,0.05,1.16,,,다나05a99b
202102,인쌩맥주제주노형점,제주시,노형동,제주시 동지역,한식,단품요리 전문,1.1,1.41,0.02,0.15,0.15,0.93,,,다나05a99b
202102,민타이,제주시,노형동,제주시 동지역,한식,단품요리 전문,0.65,1.41,0.01,0.13,0.09,0.91,,,다나05a99b
202102,채움국수,제주시,노형동,제주시 동지역,한식,단품요리 전문,0.5,1.34,0.01,0.11,0.07,0.86,,,다나05a99b
202102,김밥명가노형점,제주시,노형동,제주시 동지역,간식,분식,0.31,1.31,0.01,0.35,0.05,1.04,,,다나05a99b
202102,애월연어노형점,제주시,노형동,제주시 동지역,한식,가정식,0.96,1.27,0.05,0.39,0.16,1.06,,,다나05a99b
202102,해즈빈노형씨지브이점,제주시,노형동,제주시 동지역,한식,단품요리 전문,0.15,1.24,0,0.15,0.02,0.84,,,다나05a99b
202102,허니비어노형점,제주시,노형동,제주시 동지역,한식,단품요리 전문,0.19,1.21,0.01,0.24,0.03,0.9,,,다나05a99b
202102,제주동백별장,제주시,노형동,제주시 동지역,아시아음식,일식,1.47,1.18,0.28,1.19,0.45,1.7,,,다나05a99b
202102,원우정,제주시,노형동,제주시 동지역,한식,단품요리 전문,2.1,1.18,0.02,0.04,0.27,0.71,,,다나05a99b
202102,국수대표,제주시,노형동,제주시 동지역,한식,단품요리 전문,0.32,1.08,0,0.09,0.04,0.69,,,다나05a99b
202102,우림일식,제주시,노형동,제주시 동지역,아시아음식,일식,2,1.05,0.05,0.13,0.28,0.71,,,다나05a99b
202102,진지상,제주시,노형동,제주시 동지역,한식,가정식,0.58,1.01,0.01,0.11,0.08,0.67,,,다나05a99b
202102,바르메,제주시,노형동,제주시 동지역,한식,가정식,1.25,0.95,0,0.02,0.15,0.56,,,다나05a99b
202102,제주세호해장국노형직영점,제주시,노형동,제주시 동지역,한식,단품요리 전문,0.43,0.91,0.06,0.6,0.11,1.04,,,다나05a99b
202102,에그셀런트 제주노형점,제주시,노형동,제주시 동지역,한식,단품요리 전문,0.2,0.85,0.03,0.45,0.05,0.88,,,다나05a99b
202102,두찜신제주점,제주시,노형동,제주시 동지역,한식,가정식,0.58,0.85,0.02,0.15,0.09,0.62,,,다나05a99b
202102,미스앤미스터포테이토제주노형씨지브이점,제주시,노형동,제주시 동지역,간식,샌드위치/토스트,0.14,0.85,0,0.04,0.02,0.52,,,다나05a99b
202102,김복남맥주노형점,제주시,노형동,제주시 동지역,주점 및 주류판매,맥주/요리주점,0.61,0.85,0,0,0.07,0.48,,,다나05a99b
202102,말렛(MALLET),제주시,노형동,제주시 동지역,양식,양식,1.32,0.82,0.05,0.19,0.2,0.63,,,다나05a99b
202102,부자떡집,제주시,노형동,제주시 동지역,간식,베이커리,0.43,0.82,0,0,0.05,0.47,,,다나05a99b
202102,숙성1퍼센트,제주시,노형동,제주시 동지역,한식,단품요리 전문,1.07,0.79,0.24,0.78,0.36,1.12,,,다나05a99b
202102,향계,제주시,노형동,제주시 동지역,한식,단품요리 전문,1.03,0.72,0.03,0.15,0.15,0.54,,,다나05a99b
202102,곤지암할매소머리국밥노형점,제주시,노형동,제주시 동지역,한식,단품요리 전문,0.51,0.69,0.01,0.22,0.07,0.58,,,다나05a99b
202102,피자탑 신제주점,제주시,노형동,제주시 동지역,패스트푸드,피자,0.32,0.69,0.01,0.19,0.05,0.56,,,다나05a99b
202102,바른치킨 노형직영점,제주시,노형동,제주시 동지역,패스트푸드,치킨,0.34,0.69,0.01,0.09,0.05,0.47,,,다나05a99b
202102,라이프,제주시,노형동,제주시 동지역,한식,단품요리 전문,0.75,0.65,0.06,0.24,0.15,0.58,,,다나05a99b
202102,고니노형점,제주시,노형동,제주시 동지역,한식,단품요리 전문,0.21,0.62,0,0.02,0.03,0.37,,,다나05a99b
202102,제주모다정해장국,제주시,노형동,제주시 동지역,한식,단품요리 전문,0.25,0.59,0.07,0.8,0.1,1.03,,,다나05a99b
202102,금땡이양꼬치,제주시,노형동,제주시 동지역,아시아음식,중식,1.07,0.59,0.05,0.19,0.18,0.5,,,다나05a99b
