CMPNM_NM,ADSTRD_NM,MLSFC_NM,SCLAS_NM,JJINHBT_SALES_PRICE_RATE,JJINHBT_SALES_CO_RATE,OTSD_SALES_PRICE_RATE,OTSD_SALES_CO_RATE,ALL_SALES_PRICE_RATE,ALL_SALES_CO_RATE
청춘두루치기,노형동,한식,가정식,0.3925,0.36250000000000004,0.0025,0.0125,0.052500000000000005,0.135
원풍해장국,조천읍,한식,가정식,0.665,0.8412499999999999,0.02,0.15125,0.06,0.42500000000000004
돼지,일도2동,아시아음식,중식,0.11,0.2,0.0,0.0,0.01,0.11
홍리짬뽕,동홍동,한식,중식,0.3018181818181818,0.54,0.004545454545454546,0.04,0.035454545454545454,0.2409090909090909
돌담집,오라동,한식,단품요리 전문,0.3,0.295,0.025,0.034999999999999996,0.065,0.135
인다통닭,화북동,패스트푸드,치킨,0.27,0.38,0.0,0.0,0.03,0.13
방과후카페,아라동,한식,커피,0.10333333333333333,0.9233333333333333,0.0,0.006666666666666667,0.01,0.3333333333333333
리치에버,용담2동,한식,단품요리 전문,0.2832258064516129,0.24741935483870967,0.001935483870967742,0.00967741935483871,0.025483870967741937,0.09483870967741935
박초밥구좌점,구좌읍,아시아음식,일식,0.26,0.51,0.01,0.055,0.02,0.15
놀멍쉬멍톨카페,대륜동,한식,커피,0.11,0.27,0.0,0.03,0.01,0.15
뚱뚱이네족발보쌈,동홍동,고기,보쌈,1.353846153846154,0.8830769230769231,0.023846153846153847,0.05,0.16846153846153847,0.37846153846153846
혼디,노형동,한식,가정식,0.07807692307692309,0.24576923076923077,0.0,0.020384615384615386,0.005,0.1026923076923077
큰길,안덕면,한식,가정식,0.26545454545454544,0.43333333333333335,0.043333333333333335,0.36333333333333334,0.06272727272727274,0.453939393939394
돈쫄돈제대점,아라동,고기,돼지고기,0.1,0.16999999999999998,0.015,0.14,0.03,0.185
이성필커피,이도2동,카페,커피,0.045,0.18,0.0,0.055,0.01,0.12
고가이가네손칼국수,애월읍,한식,면류,0.15076923076923077,0.49076923076923074,0.005384615384615385,0.07730769230769231,0.016538461538461537,0.23384615384615384
샤부돈,이도2동,고기,돼지고기,1.31,0.385,0.060000000000000005,0.135,0.20500000000000002,0.275
신속풀이2호,일도2동,한식,가정식,0.13956521739130434,0.1617391304347826,0.0,0.004782608695652174,0.01173913043478261,0.05739130434782609
다미솔해장국,용담2동,한식,해장국,0.22,0.45705882352941174,0.0029411764705882353,0.033529411764705884,0.020588235294117647,0.18411764705882352
영지식당,성산읍,한식,가정식,0.17375000000000002,0.184375,0.0228125,0.1084375,0.035,0.154375
제원분식,연동,한식,분식,0.04,0.17,0.0,0.03,0.0,0.09
도마도숯불갈비,삼도1동,한식,가정식,0.53625,0.3025,0.00875,0.0275,0.043750000000000004,0.1325
삼다닭집,일도2동,한식,치킨,0.255,0.4295833333333334,0.0,0.008333333333333333,0.02291666666666667,0.15666666666666668
청년피자 제주외도점,외도동,피자.치킨.햄버거,피자,0.32,0.53,0.005,0.055,0.04,0.27
한와담제주점 카페펌킨제주점,안덕면,한식,커피,0.16,0.305,0.01,0.175,0.02,0.23
피자클럽제주점,이도2동,패스트푸드,피자,0.20380952380952383,0.27142857142857146,0.0,0.007619047619047619,0.013333333333333332,0.09428571428571428
셰프와흑돼지,안덕면,한식,가정식,0.8475,0.74,0.058750000000000004,0.27999999999999997,0.115,0.52125
포차다,서홍동,한식,가정식,0.24772727272727274,0.195,0.002272727272727273,0.012272727272727274,0.019090909090909092,0.07272727272727274
한라산마루,동홍동,한식,가정식,1.4111764705882353,0.486764705882353,0.012352941176470589,0.028823529411764706,0.12294117647058822,0.19588235294117648
흥부네찐빵,이도2동,한식,단품요리 전문,0.16125,0.3225,0.0,0.01,0.01125,0.1275
페리카나 효돈점,효돈동,피자.치킨.햄버거,치킨,0.41384615384615386,0.546923076923077,0.006923076923076922,0.04230769230769231,0.047692307692307694,0.2476923076923077
신설동커피,이도2동,음료,커피,0.16999999999999998,0.375,0.0,0.0,0.015,0.13
제주당,중문동,한식,가정식,1.137142857142857,0.33714285714285713,0.047142857142857146,0.15285714285714286,0.18,0.23
하귀당구카페,애월읍,음료,커피,0.07375,0.25375000000000003,0.0,0.0175,0.005,0.135
오물락,화북동,간식,베이커리,0.18333333333333335,0.29333333333333333,0.0033333333333333335,0.006666666666666667,0.016666666666666666,0.15666666666666665
돈야탑촌일도점,이도2동,고기,돼지고기,0.51,0.21000000000000002,0.0,0.0,0.065,0.09
올레제주축산정육식당,일도2동,한식,가정식,0.98375,0.38625,0.0075,0.01375,0.06999999999999999,0.1475
로타리김밥중앙여고점,이도2동,한식,분식,0.12,0.33,0.0,0.01,0.01,0.12
