병원명,구분,토요일,일요일,공휴일,주소,위도,경도,주소2
중문삼성연합의원, 의원,1,0,0,제주특별자치도 서귀포시 중문로 7,33.2526933883842,126.423027950794,중문동
조재익신경외과의원, 의원,1,0,0,제주특별자치도 서귀포시 대정읍 하모중앙로 76,33.2213903495082,126.251812065618,대정읍 하모리
제주현대안과의원, 의원,0,1,0,제주특별자치도 제주시 건주로 31,33.5167785217559,126.580982878284,도련일동
제주필의원, 의원,1,0,1,제주특별자치도 제주시 일주동로 229 ,33.5194425930885,126.569947757174,화북일동
제주연합재활의학과의원, 의원,1,0,0,제주특별자치도 제주시 서광로 294,33.5002042667494,126.527884346517,이도이동
제주삼성의원, 의원,1,0,0,제주특별자치도 제주시 신성로 78,33.4954440983053,126.527805588365,도남동
제주라파의원, 의원,1,0,1,제주특별자치도 제주시 연북로 34,33.4816683662675,126.484952001108,노형동
제일산부인과의원, 의원,1,0,1,제주특별자치도 서귀포시 동문로 46 ,33.2501246590042,126.565167753248,서귀동
제이뉴피부과의원, 의원,1,0,0,제주특별자치도 제주시 중앙로 337,33.4914901645134,126.537246969878,이도이동
정소아청소년과의원, 의원,1,1,1,제주특별자치도 제주시 승천로 74 ,33.4921926501796,126.542579496739,아라이동
정민구소아청소년과의원, 의원,1,0,0,제주특별자치도 제주시 건주로4길 6-8,33.5167666311552,126.58029352618,도련일동
정광훈 정형외과의원, 의원,1,0,0,제주특별자치도 제주시 연삼로 395 ,33.4951718158437,126.533757635336,이도이동
일도365의원, 의원,1,1,0,제주특별자치도 제주시 고마로 115,33.5042252423383,126.542096059768,일도이동
인혜의원, 의원,1,0,1,제주특별자치도 서귀포시 중앙로 93 ,33.2528292134515,126.56037911371,서귀동
이화소아청소년과의원, 의원,1,0,0,제주특별자치도 제주시 신설로7길 4 ,33.4922171093415,126.543760446478,아라이동
이지봄안과의원, 의원,1,0,0,제주특별자치도 제주시 노형로 390,33.4842953208458,126.47713256299,노형동
선유외과의원, 의원,1,0,0,제주특별자치도 제주시 중앙로 299,33.4944036527446,126.534643601759,이도이동
서울의원, 의원,1,0,0,제주특별자치도 제주시 구좌읍 구좌로 51,33.523223412093,126.856999783017,구좌읍 세화리
더유니콘의원, 의원,1,0,0,제주특별자치도 제주시 1100로 3323,33.4830018418011,126.480399348849,노형동
이태우정형외과의원, 의원,0,0,0,제주특별자치도 제주시 화삼북로 68,33.5170666641725,126.580288525295,도련일동
구구정형외과의원, 의원,1,0,0,제주특별자치도 제주시 우정로 55,33.4879795114921,126.431124027577,외도일동
힐리피엠씨의원, 의원,0,0,0,제주특별자치도 서귀포시 솔오름로 61,33.2836442424197,126.55977231894,동홍동
대한결핵협회 제주특별자치도지부 복십자의원, 의원,0,0,0,제주특별자치도 제주시 연북로 274,33.4802774472967,126.510643695753,오라이동
삼성서울정형외과의원, 의원,1,0,0,제주특별자치도 제주시 노형로 386,33.4841515431711,126.4769251227,노형동
서울퍼스트성형외과의원, 의원,1,0,0,제주특별자치도 서귀포시 월드컵로 8,33.2489939885441,126.507323170982,강정동
땡큐베리마취통증의학과의원, 의원,1,0,0,제주특별자치도 제주시 중앙로 352,33.4901540052416,126.537513507677,이도이동
연세차내과의원, 의원,1,0,0,제주특별자치도 제주시 우평로 338,33.4841944587667,126.430534621471,외도일동
제일정형외과의원, 의원,1,0,0,제주특별자치도 서귀포시 일주동로 8675,33.2530177709473,126.561689408622,서귀동
수목원정신건강의학과의원, 의원,0,0,0,제주특별자치도 제주시 1100로 3178,33.46981155562,126.485332189237,노형동
서울아산내과의원, 의원,1,0,0,제주특별자치도 제주시 연북로 511,33.4844445262988,126.534540530554,아라일동
예쁨주의쁨의원, 의원,1,0,0,제주특별자치도 제주시 노형8길 3,33.4844444517438,126.477797252714,노형동
911 매일의원, 의원,1,1,1,제주특별자치도 제주시 아연로 603,33.4777476702248,126.543587346335,아라일동
서울삼성재활의학과의원, 의원,1,0,0,제주특별자치도 서귀포시 대정읍 하모상가로 49,33.2221082143923,126.253974122864,대정읍 하모리
우리정형외과의원, 의원,1,0,0,제주특별자치도 서귀포시 중앙로 106 ,33.2540929745943,126.561078796087,동홍동
인제상쾌한이비인후과의원, 의원,1,1,1,제주특별자치도 제주시 동광로 86,33.50460591343,126.537513496745,이도이동
서귀포365일의원, 의원,1,1,1,제주특별자치도 서귀포시 서문로 2,33.2523823115724,126.56038929257,서귀동
제주특별자치도서귀포의료원, 종합병원,0,0,0,제주특별자치도 서귀포시 장수로 47 ,33.2559809912099,126.562948872895,동홍동
이좋은이비인후과의원, 의원,1,0,1,제주특별자치도 제주시 월랑로 39,33.4889462586235,126.475614662141,노형동
이엠돌담의원, 의원,1,0,0,제주특별자치도 제주시 일주동로 393,33.521537909651,126.58696097496,삼양이동
이스톤의원, 의원,1,0,1,제주특별자치도 서귀포시 대정읍 에듀시티로 102,33.2869426700437,126.280320074803,대정읍 보성리
이내과, 의원,1,0,1,제주특별자치도 서귀포시 중정로 68-1 ,33.2478280008257,126.563693164842,서귀동
