약국명,위도,경도,주소,주소2
새별약국,33.4086706105879,126.264335201423,"제주특별자치도 제주시 한림읍 동명북1길 11, 1층 102호",한림읍 동명리
구름별약국,33.4879308657759,126.502057860304,"제주특별자치도 제주시 연오로 59, 지1층 101호 ",오라삼동
알로하약국,33.5208359636264,126.85927280891,제주특별자치도 제주시 구좌읍 세화12길 1,구좌읍 세화리
삼양약국,33.5208841725461,126.584080157623,"제주특별자치도 제주시 일주동로 366, 1층 ",삼양이동
곰온누리약국,33.4864182898895,126.414565502113,"제주특별자치도 제주시 애월읍 하귀9길 2, 1층 106호",애월읍 하귀1리
더건강한약국,33.476515893416,126.478643431417,"제주특별자치도 제주시 한라대학로 77-1, 1층 ",노형동
건강드림약국,33.486812673941,126.479321267482,"제주특별자치도 제주시 도령로 1, 1층 ",노형동
정존약국,33.4802908734374,126.472234040441,"제주특별자치도 제주시 고사마루길 2, 1층 ",노형동
연세익약국,33.503565682999,126.527366850279,"제주특별자치도 제주시 중앙로 175, 1층 ",이도일동
착한약국,33.4860933595521,126.431727067918,"제주특별자치도 제주시 우정로15길 5, 1층 ",외도일동
노형온누리약국,33.4864706584836,126.478475118898,제주특별자치도 제주시 월랑로 3 ,노형동
신한온누리약국,33.4897415444847,126.486332954052,제주특별자치도 제주시 도령로 74 ,연동
드림약국,33.4871363196766,126.431118350237,제주특별자치도 제주시 우정로 63 ,외도일동
늘좋은약국,33.4956890709082,126.535440892783,"제주특별자치도 제주시 연삼로 414, 1층 ",이도이동
제주누리약국,33.4687713436155,126.547021236972,제주특별자치도 제주시 중앙로 616 ,아라일동
동화약국,33.5198327989352,126.570960870211,제주특별자치도 제주시 일주동로 241 ,화북일동
하나약국,33.4821139255537,126.492005938839,"제주특별자치도 제주시 연북로 99, 1층 ",연동
온누리한솔약국,33.5190270774341,126.564818561283,제주특별자치도 제주시 일주동로 181 ,화북일동
한사랑약국,33.5357738080624,126.636033867269,제주특별자치도 제주시 조천읍 신북로 217,조천읍 조천리
오케이약국,33.4921926501796,126.542579496739,"제주특별자치도 제주시 승천로 74, 1층 ",아라이동
자연약국,33.4857262153656,126.489715841975,"제주특별자치도 제주시 노연로 90, 1층 ",연동
동보약국,33.5117368883857,126.525549123259,제주특별자치도 제주시 오현길 78 ,이도일동
건강일등약국,33.4687713436155,126.547021236972,"제주특별자치도 제주시 중앙로 616, 1층 ",아라일동
한라약국,33.4885609141354,126.47608257237,"제주특별자치도 제주시 월랑로 33, 1층 ",노형동
바로약국,33.518980148661,126.566579766919,"제주특별자치도 제주시 일주동로 197, 1층 ",화북일동
조천약국,33.5360014855524,126.637179387123,제주특별자치도 제주시 조천읍 신북로 226,조천읍 조천리
은솔약국,33.4105960192047,126.265107178745,제주특별자치도 제주시 한림읍 한림중앙로 46,한림읍 한림리
녹십자약국,33.4144663931644,126.264581121556,제주특별자치도 제주시 한림읍 한림중앙로 4,한림읍 한림리
보건약국,33.4865880768705,126.488105206806,"제주특별자치도 제주시 연동3길 37, 1층 ",연동
메디칼약국,33.5015046264362,126.543570318192,제주특별자치도 제주시 고마로 149 ,일도이동
비타민약국,33.5197231790278,126.571981190343,"제주특별자치도 제주시 일주동로 250, 1층 ",화북일동
진영약국,33.5167666311552,126.58029352618,"제주특별자치도 제주시 건주로4길 6-8, SH 빌딩 103호 ",도련일동
광주약국,33.4811441301246,126.490041814131,제주특별자치도 제주시 국기로 7 ,연동
