오름명,주소,비고(m),표고(m),경도,위도,,
아부오름,제주시 구좌읍 송당리,51,301.4,126.777283,33.448875,,
아끈다랑쉬,제주시 구좌읍 세화리,58,198,126.8306516,33.47413717,,
알밤오름,제주시 조천읍 선흘리,154,393.6,126.885675,33.480757,,
알오름,서귀포시 성산읍 시흥리,51,145.9,126.713135,33.489746,,
안돌오름,제주시 구좌읍 송당리,93,368.1,126.757126,33.455814,,
안세미,제주시 봉개동,91,396.4,126.608124,33.467098,,
백약이오름,서귀포시 표선면 성읍리,132,356.9,126.7897666,33.43680944,,
밝은오름,제주시 한림읍 상명리,43,182.5,126.265854,33.360935,,
바농오름,제주시 조천읍 교래리,142,552.1,126.6538018,33.45377549,,
비치미오름,제주시 구좌읍 송당리,109,344.1,126.76329,33.426395,,
밧돌오름,제주시 구좌읍 송당리,103,352.8,126.76297,33.460716,,
천아오름,제주시 한림읍 상대리,49,133.6,126.298607,33.404919,,
칡오름,서귀포시 상효동,96,271,126.603737,33.283329,,
대병악,서귀포시 안덕면 상창리,132,491.9,126.367577,33.306248,,
대수산봉,서귀포시 성산읍 고성리,97,137.3,126.902069,33.438522,,
대왕산,서귀포시 성산읍 수산리,83,157.6,126.872673,33.455917,,
다랑쉬,제주시 구좌읍 세화리,227,382.4,126.819862,33.475208,,
달산봉,서귀포시 표선면 하천리,87,136.5,126.832405,33.345638,,
당오름,제주시 구좌읍 송당리,69,274.1,126.777916,33.468353,,
당산봉,제주시 한경면 용수리,118,148,126.172981,33.308826,,
단산,서귀포시 대정읍 인성리,113,158,126.288719,33.243938,,
도청오름,서귀포시 표선면 표선리,70,136.7,126.814339,33.315445,,
독자봉,서귀포시 성산읍 신산리,79,159.3,126.854477,33.387119,,
돔배오름,제주시 조천읍 교래리,36,466,126.668571,33.429062,,
돛오름,제주시 구좌읍 송당리,129,284.2,126.8015166,33.48107138,,
둔지봉,제주시 구좌읍 한동리,152,282.2,126.795341,33.502773,,
두산봉,서귀포시 성산읍 시흥리,101,126.5,126.885353,33.481148,,
어대오름,제주시 구좌읍 덕천리,55,210.5,126.7608417,33.49564978,,
어도오름,제주시 애월읍 봉성리,73,143,126.307381,33.421005,,
은월봉(윤드리오름),제주시 구좌읍 종달리,75,179.6,126.854477,33.46896,,
갑선이오름,서귀포시 표선면 가시리,83,188.2,126.781845,33.359951,,
개오름(성읍),서귀포시 표선면 성읍리,130,344.7,126.772675,33.423016,,
가마오름,제주시 한경면 청수리,51,140.5,126.246628,33.305321,,
감낭오름,서귀포시 안덕면 동광리,45,439.8,126.350502,33.324684,,
가세오름,서귀포시 표선면 토산리,101,200.5,126.78109,33.331295,,
가시오름,서귀포시 대정읍 동일리,77,106,126.243866,33.247208,,
거린오름,서귀포시 안덕면 동광리,68,298,126.332619,33.304913,,
걸리오름,서귀포시 성산읍 신풍리,14,123.8,126.815575,33.376331,,
거문오름,제주시 조천읍 선흘리,112,456.6,126.720299,33.456268,,
거슨세미,제주시 구좌읍 송당리,125,380,126.759544,33.450577,,
갯거리오름,제주시 한림읍 명월리,69,253.5,126.292931,33.376663,,
극락오름,제주시 애월읍 고성리,64,313.5,126.414978,33.436234,,
금오름,제주시 한림읍 금악리,178,427,126.305847,33.35722,,
고근산,서귀포시 서호동,171,396,126.514198,33.268082,,
궁대악,서귀포시 성산읍 수산리,54,238.8,126.823044,33.435707,,
군산,서귀포시 안덕면 창천리,280,334,126.370857,33.251938,,
이달봉,제주시 애월읍 봉성리,119,488,126.348381,33.363838,,
이달이촛대봉,제주시 애월읍 봉성리,86,456,126.347038,33.366447,,
인정오름,서귀포시 토평동,49,232.5,126.585411,33.283649,,
자배봉,서귀포시 남원읍 위미리,111,211.3,126.675797,33.299992,,
제지기오름,서귀포시 보목동,85,94.8,126.609947,33.241749,,
저지오름,제주시 한경면 저지리,104,239,126.2509,33.334156,,
정물오름,제주시 한림읍 금악리,151,466,126.329353,33.339428,,
제석오름,서귀포시 표선면 하천리,48,87.5,126.835685,33.347694,,
지미봉,제주시 구좌읍 종달리,160,165.8,126.901497,33.495327,,
좌보미,서귀포시 표선면 성읍리,112,342,126.8067627,33.43609516,,
모구리오름,서귀포시 성산읍 난산리,82,232,126.8284,33.408043,,
모지오름,서귀포시 표선면 성읍리,86,305.8,126.767769,33.393829,,
무악(개오름),서귀포시 안덕면 상천리,126,496.1,126.369118,33.315536,,
명월오름,제주시 한림읍 명월리,39,148.5,126.279259,33.382324,,
묘산봉,제주시 구좌읍 서김녕리,81,116.3,126.744804,33.543922,,
남산봉,서귀포시 성산읍 신풍리,54,178.8,126.810814,33.384289,,
낭끼오름,서귀포시 성산읍 수산리,40,185.1,126.841972,33.435303,,
넉시악,서귀포시 남원읍 의귀리,56,146.2,126.7146,33.305565,,
늡서리,제주시 조천읍 교래리,59,488.9,126.66494,33.441711,,
높은오름,제주시 구좌읍 송당리,175,405.3,126.792419,33.457088,,
삼매봉,서귀포시 서홍동,104,153,126.54631,33.244247,,
생길이오름,서귀포시 남원읍 신례리,65,260,126.642708,33.305759,,
서걸세,서귀포시 남원읍 하례리,50,150,126.618401,33.280914,,
설오름,서귀포시 표선면 가시리,98,238,126.769951,33.370998,,
성불오름,제주시 구좌읍 송당리,97,361.7,126.749092,33.423302,,
섯알오름,서귀포시 대정읍 상모리,21,40,126.281504,33.20594,,
서우봉,제주시 조천읍 함덕리,106,111,126.677505,33.54575,,
새신오름,서귀포시 한경면 청수리,41,141.2,126.238441,33.297661,,
식은이오름,제주시 구좌읍 덕천리,45,286,126.747414,33.473301,,
식산봉,서귀포시 성산읍 오조리,55,60.2,126.919968,33.465843,,
소병악,서귀포시 안덕면 상창리,93,473,126.373634,33.308426,,
송악산,서귀포시 대정읍 상모리,99,104,126.289551,33.200703,,
수산봉(물메),제주시 애월읍 수산리,92,121.5,126.388649,33.473545,,
통오름,서귀포시 성산읍 난산리,43,143.1,126.855972,33.39328,,
토산봉,서귀포시 표선면 토산리,75,175.4,126.773849,33.32391,,
따라비오름,서귀포시 표선면 가시리,107,342,126.754288,33.38892,,
우진제비,제주시 조천읍 선흘리,126,410,126.698135,33.467384,,
월랑지,서귀포시 표선면 성읍리,35,260.2,126.809734,33.438665,,
원물오름,서귀포시 안덕면 동광리,98,458.5,126.344551,33.322323,,
열안지오름,제주시 봉개동,54,328,126.605356,33.47307434,,
영천악,서귀포시 상효동,97,277,126.600677,33.295338,,
영주산,서귀포시 표선면 성읍리,176,326.4,126.7962446,33.40456816,,
용눈이오름,제주시 구좌읍 종달리,88,247.8,126.8326896,33.45987829,,
유건에오름,서귀포시 성산읍 난산리,75,190.2,126.847069,33.413563,,
