이름,주소,주소2,위도,경도,구분
1112도로,제주특별자치도 제주시 명림로 584 (봉개동),봉개동,33.4400488067904,126.625203401207,11
5.16도로숲터널,제주특별자치도 서귀포시 남원읍 신례리 산 2-1,남원읍 신례리,33.3641266493346,126.605070169993,11
M1971요트투어,제주특별자치도 서귀포시 대정읍 최남단해안로 128,대정읍 하모리,33.2101161544348,126.257132162474,12
가파도,제주특별자치도 서귀포시 대정읍 가파리,대정읍 가파리,33.1697319370923,126.271293664433,12
가파초등학교마라분교장,제주특별자치도 서귀포시 대정읍 마라로 58,대정읍 가파리,33.1192950745963,126.266719497241,11
감귤박물관월라봉산책로-생이소리길,제주특별자치도 서귀포시 효돈순환로 441,신효동,33.271593041773,126.607428496419,12
갑자기히어로즈벽화길,제주특별자치도 제주시 애월읍 금성1길 29-3,애월읍 금성리,33.4468784107838,126.299433475442,13
강정어촌계,제주특별자치도 서귀포시 말질로 290,강정동,33.2275607667399,126.47471504616,11
거믄여해안경승지,제주특별자치도 서귀포시 516로,동홍동 ,33.3250814262979,126.598850400937,11
걸매생태공원,제주특별자치도 서귀포시 서홍동 1207,서홍동,33.2514199379663,126.554744909063,12
걸서악오름,제주특별자치도 서귀포시 남원읍 하례로 393-1,남원읍 하례리,33.2820314973438,126.621213684907,11
검멀레동굴,제주특별자치도 제주시 우도면,우도면,33.5064494277494,126.952985318412,11
검멀레해변,제주특별자치도 제주시 우도면 우도해안길,우도면 연평리,33.5244410859691,126.952301716975,13
게우지코지,제주특별자치도 서귀포시 하효동,하효동,33.2566103527058,126.618338420041,11
고내리포구,제주특별자치도 제주시 애월읍 고내리,애월읍 고내리,33.4658420909653,126.341341321372,11
고산일과해안도로,제주특별자치도 서귀포시 대정읍 영락하동로 9-6,대정읍 영락리,33.2563964540886,126.209954498632,11
고씨주택,제주특별자치도 제주시 관덕로17길 27-1,일도일동,33.5149162873584,126.528319477559,12
고요산책,제주특별자치도 제주시 중앙로12길 5,이도일동,33.5118191452655,126.523865453693,13
공천포,제주특별자치도 서귀포시 남원읍 신례리,남원읍 신례리,33.3396592626517,126.620155016799,11
공천포구,제주특별자치도 서귀포시 남원읍 신례리,남원읍 신례리,33.3396592626517,126.620155016799,11
관음사템플스테이,제주시 산록북로 660,아라일동,33.4217203735021,126.558750751081,12
교래자연휴양림,제주특별자치도 제주시 조천읍 남조로 2023,조천읍 교래리,33.4513645690599,126.656710998359,12
