은행명,주소,위도,경도,주소2
KB국민은행 제주종합금융센터," 제주특별자치도 제주시 남광북1길 1 제주법조타워 1,2층 ",33.494593216571,126.534320623238,이도이동
KB국민은행 연북로지점, 제주특별자치도 제주시 연북로 50 ,33.4815916076525,126.48666080169,노형동
하나은행 제주금융센터, 제주특별자치도 제주시 중앙로 58 ,33.5129224625522,126.524204690747,일도일동
신한은행 제주지점, 제주특별자치도 제주시 중앙로 166 ,33.5040331471722,126.526443081752,이도일동
하나은행 신제주지점, 제주특별자치도 제주시 1100로 3308 1층 ,33.4816322571847,126.481718642804,노형동
우리은행 제주지점, 제주특별자치도 제주시 중앙로 56 ,33.5134375429646,126.524252135361,일도일동
신한은행 신제주지점, 제주특별자치도 제주시 연북로 36 ,33.4816736990054,126.485172210639,노형동
우리은행 신제주금융센터, 제주특별자치도 제주시 연북로 14 온정빌딩 1층101호 ,33.4816962476543,126.482684331539,노형동
KB국민은행 서귀포지점, 제주특별자치도 서귀포시 중정로 55 1층 ,33.2478838792426,126.562224200521,서귀동
우리은행 서귀포지점, 제주특별자치도 서귀포시 중앙로 46 ,33.2487486429615,126.561868568291,서귀동
하나은행 서귀포지점, 제주특별자치도 서귀포시 월드컵로 8 ,33.2489939885441,126.507323170982,강정동
신한은행 서귀포지점, 제주특별자치도 서귀포시 일주동로 8707 ,33.2524785027918,126.558248389213,서귀동
NH농협은행 이도지점, 제주특별자치도 제주시 승천로 73 한라훠프라자 ,33.492433096931,126.542992622381,아라이동
NH농협은행 제주중앙지점, 제주특별자치도 제주시 오현길 75 ,33.5114368783846,126.524900680222,이도일동
KB국민은행 공무원연금공단출장소, 제주특별자치도 서귀포시 서호중앙로 63 ,33.2536692363329,126.518614379686,서호동
NH농협은행 제주시지부, 제주특별자치도 제주시 신대로 110 ,33.4874638675359,126.496197657717,연동
NH농협은행 제주영업부, 제주특별자치도 제주시 서사로 56 1층 ,33.5075631400571,126.519672684473,삼도일동
NH농협은행 서광로지점, 제주특별자치도 제주시 서광로 220 ,33.4995658930419,126.52008091726,삼도일동
신한은행 제주기업금융센터, 제주특별자치도 제주시 중앙로 166 ,33.5040331471722,126.526443081752,이도일동
IBK기업은행 제주지점, 제주특별자치도 제주시 중앙로 286 1층 ,33.4947573297223,126.532961293435,이도이동
